concept,bet_old,bet_new,bet_change,deg_old,deg_new,old_provisions,new_provisions,status
renewal of licence,0.0003,0.0,-0.0003,0.0247,0.0,1,0,lost
average working day,0.0003,0.0,-0.0003,0.0123,0.0,1,0,lost
prescribed form,0.0003,0.0,-0.0003,0.0247,0.0,1,0,lost
termination of service,0.0003,0.0,-0.0003,0.0247,0.0,1,0,lost
cost of living index number,0.0003,0.0,-0.0003,0.0278,0.0,1,0,lost
adult,0.0003,0.0,-0.0003,0.0278,0.0,1,0,lost
child,0.0003,0.0,-0.0003,0.0278,0.0,1,0,lost
licensing officer,0.0003,0.0,-0.0003,0.0247,0.0,1,0,lost
force,0.0003,0.0,-0.0003,0.0154,0.0,1,0,lost
violence,0.0003,0.0,-0.0003,0.0154,0.0,1,0,lost
dock labour board,0.0002,0.0,-0.0002,0.0278,0.0,1,0,lost
contract of service,0.0002,0.0,-0.0002,0.0154,0.0097,1,2,lost
conditions,0.0003,0.0001,-0.0002,0.0247,0.0194,1,1,lost
public grounds,0.0002,0.0,-0.0002,0.0247,0.0,1,0,lost
prohibition,0.0002,0.0,-0.0002,0.0123,0.0,1,0,lost
railway company,0.0002,0.0,-0.0002,0.0278,0.0,1,0,lost
expulsion,0.0002,0.0,-0.0002,0.0247,0.0083,1,1,lost
national economy,0.0002,0.0,-0.0002,0.0247,0.0,1,0,lost
misrepresentation,0.0002,0.0,-0.0002,0.0185,0.0152,2,1,lost
suppression of material fact,0.0002,0.0,-0.0002,0.0185,0.0,2,0,lost
conditions of work,0.0002,0.0,-0.0002,0.0123,0.0,1,0,lost
appeal,0.0219,0.0217,-0.0002,0.0401,0.0665,4,11,lost
social justice,0.0002,0.0,-0.0002,0.0247,0.0,1,0,lost
age restriction,0.0003,0.0001,-0.0002,0.0185,0.0097,1,1,lost
reasonable diligence,0.0002,0.0,-0.0002,0.0216,0.0,1,0,lost
employees’ state insurance corporation,0.0002,0.0,-0.0002,0.0278,0.0,1,0,lost
termination,0.0002,0.0,-0.0002,0.0123,0.0069,1,1,lost
bona fide error,0.0002,0.0,-0.0002,0.0216,0.0,1,0,lost
advance,0.0002,0.0,-0.0002,0.0093,0.0028,1,1,lost
more favourable benefits,0.0002,0.0,-0.0002,0.0154,0.0,1,0,lost
records,0.0008,0.0006,-0.0002,0.0309,0.0194,3,6,lost
exceptional circumstances,0.0002,0.0,-0.0002,0.0216,0.0,1,0,lost
neglect or default,0.0001,0.0,-0.0001,0.0123,0.0,1,0,lost
confidentiality,0.0002,0.0001,-0.0001,0.0154,0.0069,1,1,lost
loss of money,0.0002,0.0001,-0.0001,0.0185,0.0097,1,1,lost
fines,0.0002,0.0001,-0.0001,0.0185,0.0097,1,1,lost
deductions from wages,0.0001,0.0,-0.0001,0.0062,0.0,1,0,lost
secretary,0.0001,0.0,-0.0001,0.0463,0.0,1,0,lost
inspection,0.0007,0.0006,-0.0001,0.0216,0.0166,1,3,lost
conciliation proceeding,0.0001,0.0,-0.0001,0.0463,0.0,1,0,lost
coercive activities,0.0001,0.0,-0.0001,0.0093,0.0,1,0,lost
factories,0.0001,0.0,-0.0001,0.0123,0.0,1,0,lost
wage-periods,0.0001,0.0,-0.0001,0.0062,0.0,1,0,lost
hardship,0.0001,0.0,-0.0001,0.0185,0.0,1,0,lost
cancellation,0.0001,0.0,-0.0001,0.0093,0.0042,1,1,lost
guilty,0.0001,0.0,-0.0001,0.0463,0.0,1,0,lost
conciliation officer,0.0001,0.0,-0.0001,0.0093,0.0,1,0,lost
bargaining representative,0.0001,0.0,-0.0001,0.0093,0.0,1,0,lost
public peace,0.0001,0.0,-0.0001,0.0185,0.0,1,0,lost
disabled employees,0.0001,0.0,-0.0001,0.0093,0.0,1,0,lost
prescribed manner,0.0001,0.0,-0.0001,0.0185,0.0,1,0,lost
natural justice,0.0001,0.0,-0.0001,0.0062,0.0,1,0,lost
co-operative societies,0.0001,0.0,-0.0001,0.0093,0.0055,1,1,lost
unpaid wages,0.0001,0.0,-0.0001,0.0062,0.0,1,0,lost
agent,0.0001,0.0,-0.0001,0.0463,0.0097,1,1,lost
termination of employment,0.0002,0.0001,-0.0001,0.0123,0.0139,1,2,lost
notice of lock-out,0.0001,0.0,-0.0001,0.0185,0.0,1,0,lost
court of inquiry,0.0001,0.0,-0.0001,0.0062,0.0,1,0,lost
piece work,0.0001,0.0,-0.0001,0.0062,0.0,1,0,lost
labour department,0.0001,0.0,-0.0001,0.0093,0.0,1,0,lost
exemptions,0.0001,0.0,-0.0001,0.0093,0.0,1,0,lost
damage to goods,0.0002,0.0001,-0.0001,0.0185,0.0097,1,1,lost
notice of strike,0.0001,0.0,-0.0001,0.0185,0.0,1,0,lost
court-fees,0.0001,0.0,-0.0001,0.0123,0.0,1,0,lost
confidential information,0.0001,0.0,-0.0001,0.0062,0.0,1,0,lost
average pay,0.0002,0.0001,-0.0001,0.0123,0.0083,1,1,lost
re-registration,0.0001,0.0,-0.0001,0.0093,0.0,1,0,lost
damage or loss,0.0001,0.0,-0.0001,0.0123,0.0069,1,1,lost
scheduled employments,0.0001,0.0,-0.0001,0.0062,0.0,1,0,lost
